category_id,subcategory_id,category,subcategory,description,cluster
coding-agents,,Coding Agents,,"AI-powered development environments, code-completion tools, and autonomous coding agents",agent-layer
agent-orchestration,,Agent Orchestration,,Platforms that orchestrate multiple coding agents in parallel — session runners and multi-agent swarms for coordinating agent work,agent-layer
agent-skills,,Agent Skills & MCP,,"Skills packs, spec-driven methodologies, context-engineering frameworks, and Model Context Protocol servers installed into coding agents (Claude Code, Codex, Cursor, Gemini CLI) as reusable capability bundles",agent-layer
agent-sdks-and-protocols,,Agent SDKs & Protocols,,"SDKs, libraries, pre-built tool connectors, and interoperability protocols (MCP, A2A) for building and extending AI agents in code",agent-layer
autonomous-agents,,Autonomous Agents,,Self-directed agents that decompose goals into sub-tasks and iterate toward completion with minimal human-in-the-loop oversight,agent-layer
agent-platforms,,Agent Platforms,,"Enterprise agent platforms and visual / no-code agent builders — studios for designing, deploying, and governing AI agents",agent-layer
browser-use-and-web-scraping,,Browser & Web Data,,"Agent-facing browser-control and web-data tools: browser sessions, web UI control, crawling, scraping, and extraction",agent-layer
vector-and-rag-infrastructure,,Vector & RAG Infrastructure,,"Vector stores, retrieval pipelines, and RAG frameworks enabling semantic search and grounded generation over documents and knowledge bases",runtime-stack
agent-memory,,Agent Memory,,"Memory-as-a-service platforms and stateful agent frameworks that persist context, entities, and relationships across agent sessions — distinct from document-oriented RAG",runtime-stack
inference-providers,,Inference Providers,,Hosted inference providers and cloud platforms purpose-built for deploying foundation models at scale,runtime-stack
observability-and-evaluation,,Observability & Evaluation,,"Tools for tracing, monitoring, evaluating, and improving LLM application quality in production",runtime-stack
dev-infrastructure,,Dev Infrastructure,,"Backend services such as sandboxes, execution environments, and LLM gateways that underpin AI apps",platform-infra
model-infrastructure,,Model Infrastructure,,"Libraries and platforms for training, fine-tuning, and serving foundation models on self-managed infrastructure",platform-infra
workflow-automation,,Workflow Automation,,"iPaaS and visual workflow-automation platforms with AI actions and agent nodes (n8n, Zapier AI, Make, Workato) — integration-first, not agent-centric",platform-infra
image-and-video-gen,,Image & Video Gen,,"Inference APIs, hosted platforms, and open-weight model families for image and video generation (fal.ai, RunwayML, Luma, Stability AI, Flux, ComfyUI)",modalities
voice-ai-and-speech,,Voice AI & Speech,,"AI-powered speech and voice tools for developers and end-users: TTS synthesis, ASR transcription, voice agents, and dictation apps",modalities
directories,,Directories,,"Curated indexes, marketplaces, and lists that help developers discover AI tools, MCP servers, and agent skills",discovery
benchmarks-and-leaderboards,,Benchmarks & Leaderboards,,"Standardized benchmarks, leaderboards, and Elo arenas for evaluating and comparing coding agents and LLM capabilities",discovery
ai-signals-and-research,,AI Signals & Research,,"Newsletters, podcasts, video channels, technical analysis, and research-discovery surfaces that track the AI developer ecosystem",discovery
coding-agents,ide-copilots,Coding Agents,IDE Copilots,"In-editor AI assistants and tab-completion tools that embed into popular editors (Cursor, GitHub Copilot, Windsurf, Tabnine, Supermaven). Covers chat-in-editor, inline completion, and IDE-native agents",
coding-agents,cli-harnesses,Coding Agents,CLI Harnesses,"Terminal-native coding agents that run in the developer's shell as long-lived harnesses (Claude Code, Codex CLI, Gemini CLI, Aider, OpenCode). Keyboard-driven, scriptable, filesystem-aware",
coding-agents,cloud-coding-agents,Coding Agents,Cloud Coding Agents,"Cloud-hosted autonomous coding agents that plan, write, and ship code without local setup (Devin, OpenHands, Jules, GitHub Copilot Workspace)",
coding-agents,app-builders,Coding Agents,App Builders,"Prompt-to-app and design-to-code builders that generate full-stack applications from a natural-language brief or a design file (v0, Lovable, Bolt, Replit Agent)",
coding-agents,dev-loop-utilities,Coding Agents,Dev-Loop Utilities,"Workflow utilities that wrap around coding agents: automated code review and PR triage (CodeRabbit, Greptile), repo-to-context packers and live doc lookup (Repomix, Context7, files-to-prompt)",
agent-orchestration,parallel-session-runners,Agent Orchestration,Parallel Session Runners,"Run many coding-agent sessions in parallel, usually one per git worktree, with a dashboard, kanban, or TUI for review",
agent-orchestration,multi-agent-swarms,Agent Orchestration,Multi-Agent Swarms,Frameworks that decompose a goal across specialized agents — flat role-based teams (planner / coder / reviewer / QA) or hierarchical agent-company structures with org charts and governance — passing artifacts and context through a coordinator,
agent-skills,skills-and-agent-packs,Agent Skills & MCP,Skills & Agent Packs,"Installable bundles of skills, subagents, plugins, and slash-commands that extend coding-agent capabilities. Both single-purpose skills and broad multi-asset packs (SKILL.md / .agents / commands)",
agent-skills,workflow-and-spec-frameworks,Agent Skills & MCP,Workflow & Spec Frameworks,"Opinionated multi-phase methodologies (TDD, spec-driven, plan-spec-execute-verify, context engineering, role-based) shipped as markdown or prompt frameworks that prescribe how a coding agent works, not just what it can do",
agent-skills,mcp-servers,Agent Skills & MCP,MCP Servers,"Individual Model Context Protocol servers that expose tools, data, or services to coding agents (Claude Code, Codex, Cursor, Gemini CLI, Windsurf, Cline) as reusable capability bundles installed via local or remote MCP endpoints",
agent-sdks-and-protocols,python-sdk,Agent SDKs & Protocols,Python SDK,"Python-native libraries for building, running, and composing AI agents — the primary language layer for agent SDK work (LangChain, LlamaIndex, AutoGen, CrewAI, PydanticAI)",
agent-sdks-and-protocols,javascript-and-typescript,Agent SDKs & Protocols,JavaScript & TypeScript,JavaScript and TypeScript agent frameworks and runtime integrations for Node.js and edge environments — distinct from the Python SDK tier,
agent-sdks-and-protocols,vendor-native-sdks,Agent SDKs & Protocols,Vendor Native SDKs,"Vendor-native agent SDKs from model providers (OpenAI, Anthropic, Google) shipping first-party bindings across multiple languages",
agent-sdks-and-protocols,structured-output,Agent SDKs & Protocols,Structured Output,"Libraries that constrain LLM outputs to validated schemas and types via Pydantic models, constrained decoding, or template grammars (Instructor, Outlines, Guidance, Marvin). Schema-enforcement primitives used when building agents in code",
agent-sdks-and-protocols,protocols-and-standards,Agent SDKs & Protocols,Protocols & Standards,"Open protocols for AI agent interoperability: MCP for tool access, A2A/ACP for agent-to-agent messaging, AG-UI for agent UI contracts",
agent-sdks-and-protocols,tool-integrations-and-connectors,Agent SDKs & Protocols,Tool Integrations & Connectors,Ready-made integrations that expose external services as callable tools for agents,
autonomous-agents,computer-use-agents,Autonomous Agents,Computer-Use Agents,"Goal-driven agents that perceive a screen and control mouse/keyboard to operate real desktop or browser environments without scripted selectors (UI-TARS Desktop, UFO, ChatGPT agent, Manus, Claude Cowork)",
autonomous-agents,code-execution-agents,Autonomous Agents,Code-Execution Agents,"Self-hostable agents that iteratively write and run code in a local shell, REPL, or sandbox to complete arbitrary tasks (OpenInterpreter, AgenticSeek)",
autonomous-agents,deep-research-agents,Autonomous Agents,Deep-Research Agents,"Multi-agent research flows that plan, search, read, and synthesize long-form reports (DeerFlow, GPT Researcher, STORM, OpenAI Deep Research)",
autonomous-agents,classic-autonomous-agents,Autonomous Agents,Classic Autonomous Agents,"The pioneering open-source goal-decomposition agents (Auto-GPT, BabyAGI, AgentGPT) that established the autonomous-agent loop — many remain actively maintained with substantial communities",
agent-platforms,enterprise-agent-platforms,Agent Platforms,Enterprise Agent Platforms,"Enterprise-grade agent studios and platforms (Copilot Studio, Glean, watsonx Orchestrate, UiPath Agent Builder) with developer-usable SDKs or APIs",
agent-platforms,visual-agent-builders,Agent Platforms,Visual Agent Builders,"Visual flow editors and no-code / low-code builders for composing AI agents without writing code (Langflow, Flowise, Dify, Botpress, Voiceflow, OpenAI GPTs Store)",
vector-and-rag-infrastructure,vector-databases,Vector & RAG Infrastructure,Vector Databases,"Dedicated vector stores and embedded libraries for similarity search (Pinecone, Milvus, Weaviate, Qdrant, Chroma, pgvector, LanceDB, Turbopuffer)",
vector-and-rag-infrastructure,rag-frameworks,Vector & RAG Infrastructure,RAG Frameworks,"Retrieval-augmented generation frameworks and engines: document ingestion, knowledge-graph retrieval, hybrid search, and grounded answering for production RAG pipelines",
vector-and-rag-infrastructure,embeddings-and-reranking,Vector & RAG Infrastructure,Embeddings & Reranking,"Embedding and reranking services and models used to build retrieval pipelines: managed APIs (Voyage AI, Cohere Rerank, Jina Embeddings, MixedBread) and OSS embedding families (BGE)",
vector-and-rag-infrastructure,document-parsing,Vector & RAG Infrastructure,Document Parsing,"Document parsing and ingest layer for RAG pipelines: OSS parsers (Unstructured, Docling, Marker, MinerU) and hosted APIs (LlamaParse, Reducto, Mistral OCR) for converting PDFs, HTML, and Office files into LLM-ready text",
vector-and-rag-infrastructure,managed-rag-services,Vector & RAG Infrastructure,Managed RAG Services,"End-to-end managed retrieval services from hyperscalers and vendors (Azure AI Search, Amazon Bedrock Knowledge Bases, Snowflake Cortex, Vectara)",
inference-providers,hosted-inference-platforms,Inference Providers,Hosted Inference Platforms,"Managed cloud platforms providing inference for foundation models at scale — hyperscalers (AWS Bedrock, Google Vertex AI, Azure AI Foundry) and pure-play inference APIs (Groq, Together AI, Fireworks AI, DeepInfra)",
inference-providers,llm-gateway-and-proxy,Inference Providers,LLM Gateway & Proxy,Routing and proxy layers that normalize access to multiple LLM providers under a single API,
observability-and-evaluation,llm-observability-and-tracing,Observability & Evaluation,LLM Observability & Tracing,"Platforms for logging, tracing, and monitoring LLM calls and agent execution chains",
observability-and-evaluation,prompt-engineering-and-evaluation,Observability & Evaluation,Prompt Engineering & Evaluation,"Tools for iterating on prompts, running evaluations, and benchmarking model outputs",
observability-and-evaluation,ai-security-and-red-teaming,Observability & Evaluation,AI Security & Red-Teaming,"Prompt-injection defense, guardrails, LLM red-teaming toolkits, and AI security platforms (Lakera, Protect AI, Garak, Rebuff, PyRIT)",
dev-infrastructure,code-sandboxes-and-execution,Dev Infrastructure,Code Sandboxes & Execution,Isolated execution environments where agents can safely run and test generated code,
dev-infrastructure,ai-search-apis,Dev Infrastructure,AI Search APIs,"Web-search APIs optimized for LLM grounding and agent workflows (Tavily, Exa, Perplexity Sonar, Brave Search API, Serper, SearXNG)",
dev-infrastructure,workflow-orchestration,Dev Infrastructure,Workflow Orchestration,"Durable execution engines and workflow runtimes used for production agent orchestration — state persistence, retries, long-running workflows, multi-agent coordination",
dev-infrastructure,api-and-sdk-generation,Dev Infrastructure,API & SDK Generation,"Platforms that generate SDKs, documentation, and type-safe clients from OpenAPI specs (Stainless, Speakeasy, Fern, Mintlify)",
dev-infrastructure,ai-for-devops,Dev Infrastructure,AI for DevOps,"LLM-powered infrastructure automation and troubleshooting tools for Kubernetes, IaC, SRE, and on-call operations (K8sGPT, Pulumi AI, Kubiya)",
dev-infrastructure,text-to-sql,Dev Infrastructure,Text-to-SQL,"Natural-language-to-SQL agents and copilots that let non-technical users query databases (Vanna.ai, WrenAI, Dataherald, Outerbase)",
model-infrastructure,self-hosted-inference-runtimes,Model Infrastructure,Self-Hosted Inference Runtimes,"OSS and commercial libraries for serving and executing LLMs on self-managed infrastructure: PagedAttention serving engines, local desktop runners, cross-platform inference. Distinct from managed SaaS inference providers",
model-infrastructure,fine-tuning-and-training,Model Infrastructure,Fine-Tuning & Training,"Libraries and platforms for fine-tuning, PEFT/LoRA, RLHF/DPO/GRPO, distributed pretraining, and synthetic-data generation. Covers trainers (LLaMA-Factory, Axolotl), optimization libs (DeepSpeed, Colossal-AI), and data-centric tools (Distilabel)",
model-infrastructure,data-labeling-and-synthetic-data,Model Infrastructure,Data Labeling & Synthetic Data,"Open-source and commercial platforms for labeling training data, collecting human feedback, and generating synthetic data (Label Studio, Argilla, Snorkel, Distilabel)",
browser-use-and-web-scraping,browser-automation,Browser & Web Data,Browser Control,Browser and computer-control surfaces that allow agents to navigate and interact with web UIs,
browser-use-and-web-scraping,web-scraping-and-crawling,Browser & Web Data,Web Scraping & Crawling,"Frameworks for systematically fetching, parsing, and structuring content from websites",
voice-ai-and-speech,text-to-speech,Voice AI & Speech,Text-to-Speech (TTS),"Text-to-speech, voice cloning, and synthetic voice generation. Commercial TTS APIs (ElevenLabs, Cartesia, PlayAI, Hume) and open-source models (Piper, Kokoro, Parler-TTS, StyleTTS 2, Bark, Coqui TTS, Fish Speech, GPT-SoVITS)",
voice-ai-and-speech,speech-to-text,Voice AI & Speech,Speech-to-Text (ASR),"Speech recognition models, libraries, and cloud APIs that convert speech to text (Whisper, Parakeet, Deepgram, AssemblyAI, Gladia, Speechmatics)",
voice-ai-and-speech,voice-ai-agents,Voice AI & Speech,Voice AI Agents,"Interactive voice-agent platforms and frameworks for real-time voice applications (phone agents, kiosks, multimodal assistants). Distinct from Dictation which is passive transcription",
voice-ai-and-speech,dictation-and-voice-capture,Voice AI & Speech,Dictation & Voice Capture,End-user apps for personal dictation and voice-to-text workflows — typically built on top of ASR engines,
directories,awesome-lists,Directories,Awesome Lists,"Hand-curated GitHub lists aggregating the best tools, papers, skills, MCP servers, and learning resources across the AI developer ecosystem",
directories,ai-tool-directory,Directories,AI Tool Directory,"Comprehensive catalogs of AI tools, products, and services across the ecosystem",
directories,mcp-directory,Directories,MCP Directory,Searchable directories specifically for discovering and publishing MCP servers,
directories,agent-skills-marketplace,Directories,Agent Skills Marketplace,Marketplaces for discovering and sharing reusable agent capabilities and skill packages,
benchmarks-and-leaderboards,coding-agent-benchmarks,Benchmarks & Leaderboards,Coding Agent Benchmarks,"Standardized benchmarks for evaluating coding-agent performance on real-world software-engineering tasks (SWE-bench, LiveCodeBench, Terminal-Bench)",
benchmarks-and-leaderboards,model-leaderboards,Benchmarks & Leaderboards,Model Leaderboards,"Crowdsourced and independent leaderboards comparing LLM capabilities across reasoning, coding, and general tasks (LMArena, Artificial Analysis, Aider Polyglot Leaderboard)",
ai-signals-and-research,newsletters-and-analysis,AI Signals & Research,Newsletters & Analysis,"Editorial newsletters and technical analysis sites that summarize AI releases, research, infrastructure, and developer ecosystem shifts",
ai-signals-and-research,podcasts-and-video,AI Signals & Research,Podcasts & Video,"Podcasts, conference talk archives, and video channels for AI engineering interviews, talks, demos, and community briefings",
ai-signals-and-research,research-discovery,AI Signals & Research,Research Discovery,"Paper-discovery and arXiv-overlay surfaces for tracking, discussing, and triaging new AI research",
